DP,DPNOM,AÑO,ÁREA GEOGRÁFICA,Población
44.0,La Guajira,2026.0,Total,1.088.803
44.0,La Guajira,2027.0,Cabecera,567.399
44.0,La Guajira,2027.0,Centros Poblados y Rural Disperso,535.348
44.0,La Guajira,2027.0,Total,1.102.747
44.0,La Guajira,2028.0,Cabecera,575.012
44.0,La Guajira,2028.0,Centros Poblados y Rural Disperso,541.050
44.0,La Guajira,2028.0,Total,1.116.062
44.0,La Guajira,2029.0,Cabecera,582.266
44.0,La Guajira,2029.0,Centros Poblados y Rural Disperso,546.776
44.0,La Guajira,2029.0,Total,1.129.042
44.0,La Guajira,2030.0,Cabecera,589.313
44.0,La Guajira,2030.0,Centros Poblados y Rural Disperso,552.684
44.0,La Guajira,2030.0,Total,1.141.997
44.0,La Guajira,2031.0,Cabecera,596.518
44.0,La Guajira,2031.0,Centros Poblados y Rural Disperso,558.446
44.0,La Guajira,2031.0,Total,1.154.964
44.0,La Guajira,2032.0,Cabecera,603.341
44.0,La Guajira,2032.0,Centros Poblados y Rural Disperso,564.452
44.0,La Guajira,2032.0,Total,1.167.793
44.0,La Guajira,2033.0,Cabecera,610.009
44.0,La Guajira,2033.0,Centros Poblados y Rural Disperso,570.451
44.0,La Guajira,2033.0,Total,1.180.460
44.0,La Guajira,2034.0,Cabecera,616.585
44.0,La Guajira,2034.0,Centros Poblados y Rural Disperso,576.388
44.0,La Guajira,2034.0,Total,1.192.973
44.0,La Guajira,2035.0,Cabecera,623.351
44.0,La Guajira,2035.0,Centros Poblados y Rural Disperso,582.009
44.0,La Guajira,2035.0,Total,1.205.360
44.0,La Guajira,2036.0,Total,1.217.550
44.0,La Guajira,2037.0,Total,1.229.463
44.0,La Guajira,2038.0,Total,1.241.112
44.0,La Guajira,2039.0,Total,1.252.518
44.0,La Guajira,2040.0,Total,1.263.663
44.0,La Guajira,2041.0,Total,1.274.524
44.0,La Guajira,2042.0,Total,1.285.123
44.0,La Guajira,2043.0,Total,1.295.469
44.0,La Guajira,2044.0,Total,1.305.550
44.0,La Guajira,2045.0,Total,1.315.350
44.0,La Guajira,2046.0,Total,1.324.876
44.0,La Guajira,2047.0,Total,1.334.141
44.0,La Guajira,2048.0,Total,1.343.136
44.0,La Guajira,2049.0,Total,1.351.847
44.0,La Guajira,2050.0,Total,1.360.264
47.0,Magdalena,2020.0,Cabecera,987.845
47.0,Magdalena,2020.0,Centros Poblados y Rural Disperso,438.178
47.0,Magdalena,2020.0,Total,1.426.023
47.0,Magdalena,2021.0,Cabecera,1.001.595
47.0,Magdalena,2021.0,Centros Poblados y Rural Disperso,452.559
47.0,Magdalena,2021.0,Total,1.454.154
47.0,Magdalena,2022.0,Cabecera,1.011.191
47.0,Magdalena,2022.0,Centros Poblados y Rural Disperso,465.175
47.0,Magdalena,2022.0,Total,1.476.366
47.0,Magdalena,2023.0,Cabecera,1.019.464
47.0,Magdalena,2023.0,Centros Poblados y Rural Disperso,476.699
47.0,Magdalena,2023.0,Total,1.496.163
47.0,Magdalena,2024.0,Cabecera,1.026.917
47.0,Magdalena,2024.0,Centros Poblados y Rural Disperso,486.865
47.0,Magdalena,2024.0,Total,1.513.782
47.0,Magdalena,2025.0,Cabecera,1.033.279
47.0,Magdalena,2025.0,Centros Poblados y Rural Disperso,495.759
47.0,Magdalena,2025.0,Total,1.529.038
47.0,Magdalena,2026.0,Cabecera,1.038.748
47.0,Magdalena,2026.0,Centros Poblados y Rural Disperso,503.789
47.0,Magdalena,2026.0,Total,1.542.537
47.0,Magdalena,2027.0,Cabecera,1.044.003
47.0,Magdalena,2027.0,Centros Poblados y Rural Disperso,510.864
47.0,Magdalena,2027.0,Total,1.554.867
47.0,Magdalena,2028.0,Cabecera,1.048.639
47.0,Magdalena,2028.0,Centros Poblados y Rural Disperso,517.775
47.0,Magdalena,2028.0,Total,1.566.414
47.0,Magdalena,2029.0,Cabecera,1.053.243
47.0,Magdalena,2029.0,Centros Poblados y Rural Disperso,524.254
47.0,Magdalena,2029.0,Total,1.577.497
47.0,Magdalena,2030.0,Cabecera,1.057.885
47.0,Magdalena,2030.0,Centros Poblados y Rural Disperso,530.502
47.0,Magdalena,2030.0,Total,1.588.387
47.0,Magdalena,2031.0,Cabecera,1.062.868
47.0,Magdalena,2031.0,Centros Poblados y Rural Disperso,536.227
47.0,Magdalena,2031.0,Total,1.599.095
47.0,Magdalena,2032.0,Cabecera,1.067.205
47.0,Magdalena,2032.0,Centros Poblados y Rural Disperso,542.269
47.0,Magdalena,2032.0,Total,1.609.474
47.0,Magdalena,2033.0,Cabecera,1.071.257
47.0,Magdalena,2033.0,Centros Poblados y Rural Disperso,548.228
47.0,Magdalena,2033.0,Total,1.619.485
47.0,Magdalena,2034.0,Cabecera,1.075.015
47.0,Magdalena,2034.0,Centros Poblados y Rural Disperso,554.128
47.0,Magdalena,2034.0,Total,1.629.143
47.0,Magdalena,2035.0,Cabecera,1.078.792
47.0,Magdalena,2035.0,Centros Poblados y Rural Disperso,559.668
47.0,Magdalena,2035.0,Total,1.638.460
47.0,Magdalena,2036.0,Total,1.647.354
47.0,Magdalena,2037.0,Total,1.655.757
47.0,Magdalena,2038.0,Total,1.663.678
47.0,Magdalena,2039.0,Total,1.671.143
47.0,Magdalena,2040.0,Total,1.678.130
47.0,Magdalena,2041.0,Total,1.684.630
47.0,Magdalena,2042.0,Total,1.690.662
47.0,Magdalena,2043.0,Total,1.696.227
47.0,Magdalena,2044.0,Total,1.701.316
47.0,Magdalena,2045.0,Total,1.705.923
47.0,Magdalena,2046.0,Total,1.710.064
47.0,Magdalena,2047.0,Total,1.713.751
47.0,Magdalena,2048.0,Total,1.716.973
47.0,Magdalena,2049.0,Total,1.719.728
47.0,Magdalena,2050.0,Total,1.722.017
50.0,Meta,2020.0,Cabecera,824.056
50.0,Meta,2020.0,Centros Poblados y Rural Disperso,257.976
50.0,Meta,2020.0,Total,1.082.032
50.0,Meta,2021.0,Cabecera,835.553
50.0,Meta,2021.0,Centros Poblados y Rural Disperso,262.551
50.0,Meta,2021.0,Total,1.098.104
50.0,Meta,2022.0,Cabecera,846.615
50.0,Meta,2022.0,Centros Poblados y Rural Disperso,267.195
50.0,Meta,2022.0,Total,1.113.810
50.0,Meta,2023.0,Cabecera,858.142
50.0,Meta,2023.0,Centros Poblados y Rural Disperso,271.943
50.0,Meta,2023.0,Total,1.130.085
50.0,Meta,2024.0,Cabecera,869.506
50.0,Meta,2024.0,Centros Poblados y Rural Disperso,276.260
50.0,Meta,2024.0,Total,1.145.766
50.0,Meta,2025.0,Cabecera,880.077
50.0,Meta,2025.0,Centros Poblados y Rural Disperso,280.274
50.0,Meta,2025.0,Total,1.160.351
50.0,Meta,2026.0,Cabecera,889.994
50.0,Meta,2026.0,Centros Poblados y Rural Disperso,284.010
50.0,Meta,2026.0,Total,1.174.004
50.0,Meta,2027.0,Cabecera,899.378
50.0,Meta,2027.0,Centros Poblados y Rural Disperso,287.733
50.0,Meta,2027.0,Total,1.187.111
50.0,Meta,2028.0,Cabecera,908.518
50.0,Meta,2028.0,Centros Poblados y Rural Disperso,291.211
50.0,Meta,2028.0,Total,1.199.729
50.0,Meta,2029.0,Cabecera,917.329
50.0,Meta,2029.0,Centros Poblados y Rural Disperso,294.585
50.0,Meta,2029.0,Total,1.211.914
50.0,Meta,2030.0,Cabecera,925.859
50.0,Meta,2030.0,Centros Poblados y Rural Disperso,297.876
50.0,Meta,2030.0,Total,1.223.735
50.0,Meta,2031.0,Cabecera,934.020
50.0,Meta,2031.0,Centros Poblados y Rural Disperso,301.209
50.0,Meta,2031.0,Total,1.235.229
50.0,Meta,2032.0,Cabecera,942.043
50.0,Meta,2032.0,Centros Poblados y Rural Disperso,304.331
50.0,Meta,2032.0,Total,1.246.374
50.0,Meta,2033.0,Cabecera,949.739
50.0,Meta,2033.0,Centros Poblados y Rural Disperso,307.419
50.0,Meta,2033.0,Total,1.257.158
50.0,Meta,2034.0,Cabecera,957.118
50.0,Meta,2034.0,Centros Poblados y Rural Disperso,310.458
50.0,Meta,2034.0,Total,1.267.576
50.0,Meta,2035.0,Cabecera,964.054
50.0,Meta,2035.0,Centros Poblados y Rural Disperso,313.578
50.0,Meta,2035.0,Total,1.277.632
50.0,Meta,2036.0,Total,1.287.321
50.0,Meta,2037.0,Total,1.296.627
50.0,Meta,2038.0,Total,1.305.561
50.0,Meta,2039.0,Total,1.314.133
50.0,Meta,2040.0,Total,1.322.326
50.0,Meta,2041.0,Total,1.330.132
50.0,Meta,2042.0,Total,1.337.574
50.0,Meta,2043.0,Total,1.344.662
50.0,Meta,2044.0,Total,1.351.378
50.0,Meta,2045.0,Total,1.357.722
50.0,Meta,2046.0,Total,1.363.702
50.0,Meta,2047.0,Total,1.369.318
50.0,Meta,2048.0,Total,1.374.571
50.0,Meta,2049.0,Total,1.379.454
50.0,Meta,2050.0,Total,1.383.966
52.0,Nariño,2020.0,Cabecera,730.402
52.0,Nariño,2020.0,Centros Poblados y Rural Disperso,935.052
52.0,Nariño,2020.0,Total,1.665.454
52.0,Nariño,2021.0,Cabecera,736.214
52.0,Nariño,2021.0,Centros Poblados y Rural Disperso,942.572
52.0,Nariño,2021.0,Total,1.678.786
52.0,Nariño,2022.0,Cabecera,741.411
52.0,Nariño,2022.0,Centros Poblados y Rural Disperso,947.591
52.0,Nariño,2022.0,Total,1.689.002
52.0,Nariño,2023.0,Cabecera,746.748
52.0,Nariño,2023.0,Centros Poblados y Rural Disperso,952.822
52.0,Nariño,2023.0,Total,1.699.570
52.0,Nariño,2024.0,Cabecera,752.021
52.0,Nariño,2024.0,Centros Poblados y Rural Disperso,957.869
52.0,Nariño,2024.0,Total,1.709.890
52.0,Nariño,2025.0,Cabecera,756.828
52.0,Nariño,2025.0,Centros Poblados y Rural Disperso,962.453
52.0,Nariño,2025.0,Total,1.719.281
52.0,Nariño,2026.0,Cabecera,761.198
52.0,Nariño,2026.0,Centros Poblados y Rural Disperso,966.651
52.0,Nariño,2026.0,Total,1.727.849
52.0,Nariño,2027.0,Cabecera,765.198
52.0,Nariño,2027.0,Centros Poblados y Rural Disperso,970.746
52.0,Nariño,2027.0,Total,1.735.944
52.0,Nariño,2028.0,Cabecera,769.084
52.0,Nariño,2028.0,Centros Poblados y Rural Disperso,974.518
52.0,Nariño,2028.0,Total,1.743.602
52.0,Nariño,2029.0,Cabecera,772.706
52.0,Nariño,2029.0,Centros Poblados y Rural Disperso,978.130
52.0,Nariño,2029.0,Total,1.750.836
52.0,Nariño,2030.0,Cabecera,776.019
52.0,Nariño,2030.0,Centros Poblados y Rural Disperso,981.666
52.0,Nariño,2030.0,Total,1.757.685
52.0,Nariño,2031.0,Cabecera,779.056
52.0,Nariño,2031.0,Centros Poblados y Rural Disperso,985.110
52.0,Nariño,2031.0,Total,1.764.166
52.0,Nariño,2032.0,Cabecera,782.053
52.0,Nariño,2032.0,Centros Poblados y Rural Disperso,988.192
52.0,Nariño,2032.0,Total,1.770.245
52.0,Nariño,2033.0,Cabecera,784.788
52.0,Nariño,2033.0,Centros Poblados y Rural Disperso,991.133
52.0,Nariño,2033.0,Total,1.775.921
52.0,Nariño,2034.0,Cabecera,787.336
52.0,Nariño,2034.0,Centros Poblados y Rural Disperso,993.859
52.0,Nariño,2034.0,Total,1.781.195
52.0,Nariño,2035.0,Cabecera,789.571
52.0,Nariño,2035.0,Centros Poblados y Rural Disperso,996.483
52.0,Nariño,2035.0,Total,1.786.054
52.0,Nariño,2036.0,Total,1.790.478
52.0,Nariño,2037.0,Total,1.794.455
52.0,Nariño,2038.0,Total,1.797.994
52.0,Nariño,2039.0,Total,1.801.089
52.0,Nariño,2040.0,Total,1.803.737
52.0,Nariño,2041.0,Total,1.805.948
52.0,Nariño,2042.0,Total,1.807.723
52.0,Nariño,2043.0,Total,1.809.061
52.0,Nariño,2044.0,Total,1.809.964
52.0,Nariño,2045.0,Total,1.810.426
52.0,Nariño,2046.0,Total,1.810.446
52.0,Nariño,2047.0,Total,1.810.038
52.0,Nariño,2048.0,Total,1.809.194
52.0,Nariño,2049.0,Total,1.807.910
52.0,Nariño,2050.0,Total,1.806.176
54.0,Norte de Santander,2020.0,Cabecera,1.275.646
54.0,Norte de Santander,2020.0,Centros Poblados y Rural Disperso,341.563
54.0,Norte de Santander,2020.0,Total,1.617.209
54.0,Norte de Santander,2021.0,Cabecera,1.307.684
54.0,Norte de Santander,2021.0,Centros Poblados y Rural Disperso,346.657
54.0,Norte de Santander,2021.0,Total,1.654.341
54.0,Norte de Santander,2022.0,Cabecera,1.328.451
54.0,Norte de Santander,2022.0,Centros Poblados y Rural Disperso,350.524
54.0,Norte de Santander,2022.0,Total,1.678.975
54.0,Norte de Santander,2023.0,Cabecera,1.343.079
54.0,Norte de Santander,2023.0,Centros Poblados y Rural Disperso,353.661
54.0,Norte de Santander,2023.0,Total,1.696.740
54.0,Norte de Santander,2024.0,Cabecera,1.353.250
54.0,Norte de Santander,2024.0,Centros Poblados y Rural Disperso,356.320
54.0,Norte de Santander,2024.0,Total,1.709.570
54.0,Norte de Santander,2025.0,Cabecera,1.359.676
54.0,Norte de Santander,2025.0,Centros Poblados y Rural Disperso,358.316
54.0,Norte de Santander,2025.0,Total,1.717.992
54.0,Norte de Santander,2026.0,Cabecera,1.363.322
54.0,Norte de Santander,2026.0,Centros Poblados y Rural Disperso,359.976
54.0,Norte de Santander,2026.0,Total,1.723.298
54.0,Norte de Santander,2027.0,Cabecera,1.364.973
54.0,Norte de Santander,2027.0,Centros Poblados y Rural Disperso,361.757
54.0,Norte de Santander,2027.0,Total,1.726.730
54.0,Norte de Santander,2028.0,Cabecera,1.365.641
54.0,Norte de Santander,2028.0,Centros Poblados y Rural Disperso,363.473
54.0,Norte de Santander,2028.0,Total,1.729.114
54.0,Norte de Santander,2029.0,Cabecera,1.365.650
54.0,Norte de Santander,2029.0,Centros Poblados y Rural Disperso,365.494
54.0,Norte de Santander,2029.0,Total,1.731.144
54.0,Norte de Santander,2030.0,Cabecera,1.365.486
54.0,Norte de Santander,2030.0,Centros Poblados y Rural Disperso,367.882
54.0,Norte de Santander,2030.0,Total,1.733.368
54.0,Norte de Santander,2031.0,Cabecera,1.365.029
54.0,Norte de Santander,2031.0,Centros Poblados y Rural Disperso,370.708
54.0,Norte de Santander,2031.0,Total,1.735.737
54.0,Norte de Santander,2032.0,Cabecera,1.364.606
54.0,Norte de Santander,2032.0,Centros Poblados y Rural Disperso,373.366
54.0,Norte de Santander,2032.0,Total,1.737.972
54.0,Norte de Santander,2033.0,Cabecera,1.364.053
54.0,Norte de Santander,2033.0,Centros Poblados y Rural Disperso,376.004
54.0,Norte de Santander,2033.0,Total,1.740.057
54.0,Norte de Santander,2034.0,Cabecera,1.363.345
54.0,Norte de Santander,2034.0,Centros Poblados y Rural Disperso,378.652
54.0,Norte de Santander,2034.0,Total,1.741.997
54.0,Norte de Santander,2035.0,Cabecera,1.362.295
54.0,Norte de Santander,2035.0,Centros Poblados y Rural Disperso,381.505
54.0,Norte de Santander,2035.0,Total,1.743.800
54.0,Norte de Santander,2036.0,Total,1.745.338
54.0,Norte de Santander,2037.0,Total,1.746.489
54.0,Norte de Santander,2038.0,Total,1.747.254
54.0,Norte de Santander,2039.0,Total,1.747.648
54.0,Norte de Santander,2040.0,Total,1.747.658
54.0,Norte de Santander,2041.0,Total,1.747.270
54.0,Norte de Santander,2042.0,Total,1.746.497
54.0,Norte de Santander,2043.0,Total,1.745.352
54.0,Norte de Santander,2044.0,Total,1.743.837
54.0,Norte de Santander,2045.0,Total,1.741.938
54.0,Norte de Santander,2046.0,Total,1.739.659
54.0,Norte de Santander,2047.0,Total,1.737.011
54.0,Norte de Santander,2048.0,Total,1.733.997
54.0,Norte de Santander,2049.0,Total,1.730.610
54.0,Norte de Santander,2050.0,Total,1.726.846
63.0,Quindio,2020.0,Cabecera,486.029
63.0,Quindio,2020.0,Centros Poblados y Rural Disperso,67.292
63.0,Quindio,2020.0,Total,553.321
63.0,Quindio,2021.0,Cabecera,490.442
63.0,Quindio,2021.0,Centros Poblados y Rural Disperso,66.657
63.0,Quindio,2021.0,Total,557.099
63.0,Quindio,2022.0,Cabecera,492.893
63.0,Quindio,2022.0,Centros Poblados y Rural Disperso,66.917
63.0,Quindio,2022.0,Total,559.810
63.0,Quindio,2023.0,Cabecera,495.526
63.0,Quindio,2023.0,Centros Poblados y Rural Disperso,67.550
63.0,Quindio,2023.0,Total,563.076
63.0,Quindio,2024.0,Cabecera,497.785
63.0,Quindio,2024.0,Centros Poblados y Rural Disperso,68.263
63.0,Quindio,2024.0,Total,566.048
63.0,Quindio,2025.0,Cabecera,499.565
63.0,Quindio,2025.0,Centros Poblados y Rural Disperso,68.995
63.0,Quindio,2025.0,Total,568.560
63.0,Quindio,2026.0,Cabecera,500.928
63.0,Quindio,2026.0,Centros Poblados y Rural Disperso,69.800
63.0,Quindio,2026.0,Total,570.728
63.0,Quindio,2027.0,Cabecera,501.991
63.0,Quindio,2027.0,Centros Poblados y Rural Disperso,70.728
63.0,Quindio,2027.0,Total,572.719
63.0,Quindio,2028.0,Cabecera,502.850
63.0,Quindio,2028.0,Centros Poblados y Rural Disperso,71.750
63.0,Quindio,2028.0,Total,574.600
63.0,Quindio,2029.0,Cabecera,503.525
63.0,Quindio,2029.0,Centros Poblados y Rural Disperso,72.891
63.0,Quindio,2029.0,Total,576.416
63.0,Quindio,2030.0,Cabecera,504.039
63.0,Quindio,2030.0,Centros Poblados y Rural Disperso,74.160
63.0,Quindio,2030.0,Total,578.199
63.0,Quindio,2031.0,Cabecera,504.435
63.0,Quindio,2031.0,Centros Poblados y Rural Disperso,75.498
63.0,Quindio,2031.0,Total,579.933
63.0,Quindio,2032.0,Cabecera,504.686
63.0,Quindio,2032.0,Centros Poblados y Rural Disperso,76.896
63.0,Quindio,2032.0,Total,581.582
63.0,Quindio,2033.0,Cabecera,504.797
63.0,Quindio,2033.0,Centros Poblados y Rural Disperso,78.335
63.0,Quindio,2033.0,Total,583.132
63.0,Quindio,2034.0,Cabecera,504.764
63.0,Quindio,2034.0,Centros Poblados y Rural Disperso,79.814
63.0,Quindio,2034.0,Total,584.578
63.0,Quindio,2035.0,Cabecera,504.574
63.0,Quindio,2035.0,Centros Poblados y Rural Disperso,81.339
63.0,Quindio,2035.0,Total,585.913
63.0,Quindio,2036.0,Total,587.124
63.0,Quindio,2037.0,Total,588.194
63.0,Quindio,2038.0,Total,589.117
63.0,Quindio,2039.0,Total,589.892
63.0,Quindio,2040.0,Total,590.518
63.0,Quindio,2041.0,Total,590.996
63.0,Quindio,2042.0,Total,591.332
63.0,Quindio,2043.0,Total,591.531
63.0,Quindio,2044.0,Total,591.590
63.0,Quindio,2045.0,Total,591.509
63.0,Quindio,2046.0,Total,591.300
63.0,Quindio,2047.0,Total,590.960
63.0,Quindio,2048.0,Total,590.484
63.0,Quindio,2049.0,Total,589.880
63.0,Quindio,2050.0,Total,589.149
66.0,Risaralda,2020.0,Cabecera,762.638
66.0,Risaralda,2020.0,Centros Poblados y Rural Disperso,200.141
66.0,Risaralda,2020.0,Total,962.779
66.0,Risaralda,2021.0,Cabecera,771.884
66.0,Risaralda,2021.0,Centros Poblados y Rural Disperso,196.403
66.0,Risaralda,2021.0,Total,968.287
66.0,Risaralda,2022.0,Cabecera,775.780
66.0,Risaralda,2022.0,Centros Poblados y Rural Disperso,194.358
66.0,Risaralda,2022.0,Total,970.138
66.0,Risaralda,2023.0,Cabecera,779.222
66.0,Risaralda,2023.0,Centros Poblados y Rural Disperso,193.082
66.0,Risaralda,2023.0,Total,972.304
66.0,Risaralda,2024.0,Cabecera,781.555
66.0,Risaralda,2024.0,Centros Poblados y Rural Disperso,192.324
66.0,Risaralda,2024.0,Total,973.879
66.0,Risaralda,2025.0,Cabecera,782.966
66.0,Risaralda,2025.0,Centros Poblados y Rural Disperso,191.673
66.0,Risaralda,2025.0,Total,974.639
66.0,Risaralda,2026.0,Cabecera,783.663
66.0,Risaralda,2026.0,Centros Poblados y Rural Disperso,191.130
66.0,Risaralda,2026.0,Total,974.793
66.0,Risaralda,2027.0,Cabecera,783.800
66.0,Risaralda,2027.0,Centros Poblados y Rural Disperso,190.819
66.0,Risaralda,2027.0,Total,974.619
66.0,Risaralda,2028.0,Cabecera,783.488
66.0,Risaralda,2028.0,Centros Poblados y Rural Disperso,190.755
66.0,Risaralda,2028.0,Total,974.243
66.0,Risaralda,2029.0,Cabecera,782.781
66.0,Risaralda,2029.0,Centros Poblados y Rural Disperso,190.968
66.0,Risaralda,2029.0,Total,973.749
66.0,Risaralda,2030.0,Cabecera,781.708
66.0,Risaralda,2030.0,Centros Poblados y Rural Disperso,191.505
66.0,Risaralda,2030.0,Total,973.213
66.0,Risaralda,2031.0,Cabecera,780.415
66.0,Risaralda,2031.0,Centros Poblados y Rural Disperso,192.187
66.0,Risaralda,2031.0,Total,972.602
66.0,Risaralda,2032.0,Cabecera,778.987
66.0,Risaralda,2032.0,Centros Poblados y Rural Disperso,192.858
66.0,Risaralda,2032.0,Total,971.845
66.0,Risaralda,2033.0,Cabecera,777.397
66.0,Risaralda,2033.0,Centros Poblados y Rural Disperso,193.533
66.0,Risaralda,2033.0,Total,970.930
66.0,Risaralda,2034.0,Cabecera,775.685
66.0,Risaralda,2034.0,Centros Poblados y Rural Disperso,194.159
66.0,Risaralda,2034.0,Total,969.844
66.0,Risaralda,2035.0,Cabecera,773.796
66.0,Risaralda,2035.0,Centros Poblados y Rural Disperso,194.799
66.0,Risaralda,2035.0,Total,968.595
66.0,Risaralda,2036.0,Total,967.143
66.0,Risaralda,2037.0,Total,965.446
